id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1s1X6GmkRg4YI1MzqQtWZ1,Ne Dis Rien,0,184738,0,['Damia'],['3XbKvMoMrInANw4FfHSG1y'],1929,0.402,0.12,7,-14.619,1,0.0422,0.883,0.0,0.378,0.362,98.941,3
1sXnIJcRE2wC1BrhQcbwF5,Possibilities,0,429520,0,['Steve Correll Group'],['6yFEWWzLGZ5iYFFlgbl45b'],1929,0.743,0.343,2,-11.728,0,0.0443,0.5,0.729,0.0994,0.731,133.829,4
1t3P7GeruPKaJVKuyKIr1q,Arrabal - Instrumental (Remasterizado),0,179507,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-22,0.746,0.0338,4,-25.875,1,0.0578,0.994,0.0852,0.11,0.669,123.19,4
1t71YmFJysdJ0o36OtDsUl,Joliet Bound,3,186027,0,['Memphis Minnie'],['2WGyRLosdDgGJTLijIPpNC'],1929,0.747,0.159,1,-11.619,1,0.0527,0.995,0.0192,0.11,0.361,111.935,4
1uQR0gqZGSqjfpSwBJw1cQ,Flor de Rea,0,174840,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929,0.679,0.372,9,-6.53,1,0.0641,0.992,0.321,0.442,0.932,118.763,4
1xagcxXufwD8A0RTB4Wv1m,Hasta Luego - Instrumental (Remasterizado),0,161493,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-11-06,0.692,0.0577,11,-19.38,0,0.078,0.995,0.87,0.106,0.713,118.824,4
1yz2KEbCHlbmNkTNmqFNex,Say I Do It,0,163866,0,['Sloppy Henry'],['0uCnKPfnv42FdWZwvgjXkY'],1929-01-12,0.756,0.0944,6,-18.213,1,0.222,0.989,0.0,0.143,0.737,114.81,4
1zr46zDJpyxZDuPwTJD1b0,Natun Kare Jal Ase Re,0,202000,0,['K.C.Dey'],['7ykRjZ7hLVJ0lfysVIlO4I'],1929-12-31,0.516,0.198,8,-15.245,1,0.0693,0.994,0.0915,0.137,0.533,66.941,4
20BHnq8WLa1s3fwVRI0ynX,Decime Que Si - Remasterizado,0,174560,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-17,0.811,0.278,9,-11.238,1,0.385,0.972,0.0173,0.0858,0.863,118.199,4
20clYow8o6VZ8tHEtSw76H,Tu Retrato - Instrumental (Remasterizado),0,182547,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-18,0.8,0.32,1,-5.959,0,0.0486,0.98,0.485,0.124,0.858,119.345,4
21z61VsrRSWrPs2zslergw,Anedotas Cariocas,0,112671,0,"['Cornélio Pires', 'Pedro Massa']","['0TSzcpMlKQml6GITQyOrUy', '1aiyaA6AIWKgFLSHGHRZ6i']",1929-08-07,0.676,0.282,9,-14.295,1,0.895,0.992,0.0,0.354,0.502,65.914,3
22aYJFp5DPqYtxH1u4s3Wm,I'll Be Thinking Of You Little Gal,0,184893,0,['Gene Autry'],['5ixB75BQR3ADoWQkcHQJTs'],1929,0.517,0.333,0,-10.584,1,0.0347,0.986,0.000694,0.338,0.649,122.386,4
22exfbbxir1dKx2rOvycsq,Suspiros,0,197973,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929,0.581,0.256,9,-9.643,1,0.0539,0.995,0.859,0.171,0.728,118.034,4
